scen_num,sample_num,capacity_multiplier,exp_name,date,group_id,reopen,delay,rollback,crit_det,date_min,date_max,type,subtype,days_above
1946,176,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-19,1843,50perc,1daysdelay,weak (20%),519,2020-12-19,2021-01-24,threshold,above_threshold,36.0286225402493
1792,162,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-20,1695,50perc,1daysdelay,weak (20%),537,2020-12-20,2021-01-07,threshold,above_threshold,18.014311270126
1053,95,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-21,1004,50perc,1daysdelay,weak (20%),516,2020-12-21,2021-01-16,threshold,above_threshold,25.5992844364958
2089,189,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-21,1977,50perc,1daysdelay,weak (20%),530,2020-12-21,2021-01-17,threshold,above_threshold,26.5474060822885
1242,112,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-22,1179,50perc,1daysdelay,weak (20%),520,2020-12-22,2021-01-20,threshold,above_threshold,29.3917710196751
756,68,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-23,720,50perc,1daysdelay,weak (20%),529,2020-12-23,2021-01-19,threshold,above_threshold,27.4955277280868
1291,117,0.4,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-23,1223,50perc,1daysdelay,weak (20%),527,2020-12-23,2021-02-06,threshold,above_threshold,45.5098389982129
1579,143,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-23,1491,50perc,1daysdelay,weak (20%),519,2020-12-23,2021-01-10,threshold,above_threshold,18.014311270126
1064,96,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-24,1014,50perc,1daysdelay,weak (20%),532,2020-12-24,2021-01-22,threshold,above_threshold,29.3917710196806
1108,100,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-24,1058,50perc,1daysdelay,weak (20%),547,2020-12-24,2021-01-30,threshold,above_threshold,36.9767441860476
1473,133,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-24,1399,50perc,1daysdelay,weak (20%),523,2020-12-24,2021-01-18,threshold,above_threshold,24.6511627907002
1581,143,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-24,1493,50perc,1daysdelay,weak (20%),526,2020-12-24,2021-01-14,threshold,above_threshold,20.8586762075154
873,79,0.4,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-25,829,50perc,1daysdelay,weak (20%),520,2020-12-25,2021-02-25,threshold,above_threshold,62.5760286225406
1275,115,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-25,1208,50perc,1daysdelay,weak (20%),520,2020-12-25,2021-01-30,threshold,above_threshold,36.0286225402493
