date,rt_median,scen_num,reopen
2020-10-16,1.12880124719438,276,50perc
2020-10-16,1.12145683137028,277,50perc
2020-10-16,1.12050320987316,278,50perc
2020-10-16,1.13840494295527,279,50perc
2020-10-16,1.13164748038405,281,50perc
2020-10-16,1.13367782813423,284,50perc
2020-10-16,1.12532762347767,293,50perc
2020-10-16,1.13481890795662,294,50perc
2020-10-16,1.13328559321428,295,50perc
2020-10-16,1.11914896432888,296,50perc
2020-10-16,1.14785849204257,297,50perc
2020-10-16,1.10831235595746,300,50perc
2020-10-16,1.12744159435157,310,50perc
2020-10-16,1.1291101946329,317,50perc
2020-10-16,1.1280662153526,319,50perc
2020-10-16,1.10136867045308,320,50perc
2020-10-16,1.13877569296277,324,50perc
2020-10-16,1.10254529410075,326,50perc
2020-10-16,1.1276116092136,335,50perc
2020-10-16,1.14422871283475,345,50perc
2020-10-16,1.1220613208981,350,50perc
2020-10-16,1.11363199273001,354,50perc
2020-10-16,1.14320473439137,359,50perc
2020-10-16,1.14133266338787,365,50perc
2020-10-16,1.13252880488208,366,50perc
2020-10-16,1.12056026400929,368,50perc
2020-10-16,,370,50perc
2020-10-16,1.13435610987021,375,50perc
2020-10-16,1.12843828335848,376,50perc
2020-10-16,1.12588972217238,381,50perc
2020-10-16,1.11166597879998,384,50perc
2020-10-16,1.12306251763494,386,50perc
2020-10-16,1.13390833315947,398,50perc
2020-10-17,1.12291568601333,3,50perc
2020-10-17,1.13955762244049,6,50perc
2020-10-17,1.11191358023649,11,50perc
2020-10-17,1.12237470004725,14,50perc
2020-10-17,1.11732362570456,17,50perc
2020-10-17,1.12604908570807,18,50perc
2020-10-17,1.14622406740276,27,50perc
2020-10-17,1.11975759080929,30,50perc
2020-10-17,1.13459376705833,35,50perc
2020-10-17,1.10419696140606,37,50perc
2020-10-17,1.11218403223047,49,50perc
2020-10-17,1.13913573138836,50,50perc
2020-10-17,1.12326415171535,57,50perc
2020-10-17,1.11409676215847,58,50perc
2020-10-17,1.12616203285438,59,50perc
2020-10-17,1.13254284154977,63,50perc
2020-10-17,1.12353046189438,65,50perc
2020-10-17,1.11481214620844,66,50perc
2020-10-17,1.11625867276802,69,50perc
2020-10-17,1.13686818425308,71,50perc
2020-10-17,1.12784013129909,73,50perc
2020-10-17,1.10561019005422,81,50perc
2020-10-17,1.11924561121261,101,50perc
2020-10-17,1.12337710001278,102,50perc
2020-10-17,1.11486521946194,104,50perc
2020-10-17,1.12788119868933,110,50perc
2020-10-17,1.15286041535773,111,50perc
2020-10-17,1.1435937814497,116,50perc
2020-10-17,1.12673051181828,122,50perc
2020-10-17,1.13248691943901,127,50perc
2020-10-17,1.1154070378188,134,50perc
2020-10-17,1.10810042175333,137,50perc
2020-10-17,1.1171304786945,140,50perc
2020-10-17,1.12066073367298,144,50perc
2020-10-17,1.10941628302354,147,50perc
2020-10-17,1.12162280975538,149,50perc
2020-10-17,1.12647678422719,150,50perc
2020-10-17,1.11192959760997,151,50perc
2020-10-17,1.10696981493113,152,50perc
2020-10-17,1.13177657179388,156,50perc
2020-10-17,1.13855414791268,157,50perc
2020-10-17,1.12756460832933,159,50perc
2020-10-17,1.10559808511182,164,50perc
2020-10-17,1.14818059932348,165,50perc
2020-10-17,1.12826859883802,175,50perc
2020-10-17,1.12640977349404,195,50perc
2020-10-17,1.12301864765966,199,50perc
2020-10-17,1.1251979113926,211,50perc
2020-10-17,1.13226960700762,212,50perc
2020-10-17,1.121810468099,223,50perc
2020-10-17,1.12421866362674,224,50perc
2020-10-17,1.12291606903048,225,50perc
2020-10-17,1.10882128516228,227,50perc
2020-10-17,1.12728079256847,231,50perc
2020-10-17,1.12324990020327,234,50perc
2020-10-17,1.13853565045089,235,50perc
2020-10-17,1.13830091388476,245,50perc
2020-10-17,1.12448044376546,253,50perc
2020-10-17,1.11591910925132,258,50perc
2020-10-17,1.11850302765438,259,50perc
2020-10-17,1.09680057906757,262,50perc
2020-10-17,,264,50perc
2020-10-17,1.10265221212102,266,50perc
2020-10-17,1.11626199945766,269,50perc
2020-10-17,1.11314910769289,271,50perc
2020-10-17,1.11029990789599,272,50perc
2020-10-17,1.13069178475667,274,50perc
2020-10-17,1.12819983482162,276,50perc
2020-10-17,1.12074433739624,277,50perc
2020-10-17,1.11999433350381,278,50perc
2020-10-17,1.13852859098182,279,50perc
2020-10-17,1.13040065380359,281,50perc
2020-10-17,1.13394468042433,284,50perc
2020-10-17,1.12511416491302,293,50perc
2020-10-17,1.13346204629207,294,50perc
2020-10-17,1.13225555970396,295,50perc
2020-10-17,1.11844285321104,296,50perc
2020-10-17,1.147212303891,297,50perc
2020-10-17,1.10862530801157,300,50perc
2020-10-17,1.12665440700632,310,50perc
2020-10-17,1.12816182135398,317,50perc
2020-10-17,1.12716738674076,319,50perc
2020-10-17,1.10083571892434,320,50perc
2020-10-17,1.13791634991009,324,50perc
2020-10-17,1.1042617708036,326,50perc
2020-10-17,1.12778295610533,335,50perc
2020-10-17,1.14377123861341,345,50perc
2020-10-17,1.12259769884975,350,50perc
2020-10-17,1.11377526437155,354,50perc
2020-10-17,1.14151337525627,359,50perc
2020-10-17,1.14214348942016,365,50perc
2020-10-17,1.13187792827736,366,50perc
2020-10-17,1.12303511793379,368,50perc
2020-10-17,,370,50perc
2020-10-17,1.13269219051157,375,50perc
2020-10-17,1.12870129829986,376,50perc
2020-10-17,1.12555630134749,381,50perc
2020-10-17,1.11049543234968,384,50perc
2020-10-17,1.12295709436854,386,50perc
2020-10-17,1.13352732554411,398,50perc
2020-10-18,1.12240888909358,3,50perc
2020-10-18,1.1391153293703,6,50perc
2020-10-18,1.11172627479715,11,50perc
2020-10-18,1.12212162520788,14,50perc
2020-10-18,1.11545828702735,17,50perc
2020-10-18,1.12514482660203,18,50perc
2020-10-18,1.14602074553732,27,50perc
2020-10-18,1.12047137734653,30,50perc
2020-10-18,1.13526913382208,35,50perc
2020-10-18,1.10394994101465,37,50perc
2020-10-18,1.11233439024101,49,50perc
2020-10-18,1.13806230463014,50,50perc
2020-10-18,1.12225942315275,57,50perc
2020-10-18,1.11554458701171,58,50perc
2020-10-18,1.12431909129505,59,50perc
2020-10-18,1.13184655580813,63,50perc
2020-10-18,1.12427403274927,65,50perc
2020-10-18,1.11332575835394,66,50perc
2020-10-18,1.11402541999767,69,50perc
2020-10-18,1.13633165078119,71,50perc
2020-10-18,1.12931107529804,73,50perc
2020-10-18,1.10587606592899,81,50perc
2020-10-18,1.11902474692679,101,50perc
2020-10-18,1.1221844824753,102,50perc
2020-10-18,1.11339234769573,104,50perc
2020-10-18,1.12892693144766,110,50perc
2020-10-18,1.15193242333163,111,50perc
2020-10-18,1.14254273541798,116,50perc
2020-10-18,1.12661756246143,122,50perc
2020-10-18,1.13165083784245,127,50perc
2020-10-18,1.11630337424813,134,50perc
2020-10-18,1.10840141860868,137,50perc
2020-10-18,1.11857362871037,140,50perc
2020-10-18,1.12037000486977,144,50perc
2020-10-18,1.1109976083915,147,50perc
2020-10-18,1.11990714302663,149,50perc
2020-10-18,1.12529276754097,150,50perc
2020-10-18,1.11193210347884,151,50perc
2020-10-18,1.10773021215942,152,50perc
2020-10-18,1.13219773625976,156,50perc
2020-10-18,1.13642954049064,157,50perc
2020-10-18,1.12696138798695,159,50perc
2020-10-18,1.10560592406292,164,50perc
2020-10-18,1.14758921013182,165,50perc
2020-10-18,1.12747134783432,175,50perc
2020-10-18,1.12596586381484,195,50perc
2020-10-18,1.12277199732501,199,50perc
2020-10-18,1.12417821891418,211,50perc
2020-10-18,1.13200496087055,212,50perc
2020-10-18,1.11897865428787,223,50perc
2020-10-18,1.12408726061097,224,50perc
2020-10-18,1.12191775847982,225,50perc
2020-10-18,1.10786025968926,227,50perc
2020-10-18,1.1257135598232,231,50perc
2020-10-18,1.12264664361812,234,50perc
2020-10-18,1.13712835902917,235,50perc
2020-10-18,1.13675634173063,245,50perc
2020-10-18,1.12327254552171,253,50perc
2020-10-18,1.11469433741039,258,50perc
2020-10-18,1.11885550362964,259,50perc
2020-10-18,1.09767154441902,262,50perc
2020-10-18,,264,50perc
2020-10-18,1.10401432676772,266,50perc
2020-10-18,1.11449830350997,269,50perc
2020-10-18,1.11287647719212,271,50perc
2020-10-18,1.10872895726194,272,50perc
2020-10-18,1.13091222660451,274,50perc
2020-10-18,1.1276608482047,276,50perc
2020-10-18,1.1202759663647,277,50perc
2020-10-18,1.11979822062818,278,50perc
2020-10-18,1.13803250888855,279,50perc
2020-10-18,1.12876449688828,281,50perc
2020-10-18,1.13391306925188,284,50perc
2020-10-18,1.1250237819648,293,50perc
2020-10-18,1.13189841757811,294,50perc
2020-10-18,1.13128585486592,295,50perc
2020-10-18,1.11743251323878,296,50perc
2020-10-18,1.14689871101168,297,50perc
2020-10-18,1.10772573377892,300,50perc
2020-10-18,1.12628883673452,310,50perc
2020-10-18,1.12669583038581,317,50perc
2020-10-18,1.12596811406655,319,50perc
2020-10-18,1.09996536621016,320,50perc
2020-10-18,1.13686153246687,324,50perc
2020-10-18,1.10427303139841,326,50perc
2020-10-18,1.12799702710221,335,50perc
2020-10-18,1.14254090242608,345,50perc
2020-10-18,1.12264222865625,350,50perc
2020-10-18,1.1128814220336,354,50perc
2020-10-18,1.13916610062449,359,50perc
2020-10-18,1.14290658356162,365,50perc
2020-10-18,1.13152990841973,366,50perc
2020-10-18,1.12519865848327,368,50perc
2020-10-18,,370,50perc
2020-10-18,1.13085512371395,375,50perc
2020-10-18,1.12923747330435,376,50perc
2020-10-18,1.1254153051282,381,50perc
2020-10-18,1.10914809798673,384,50perc
2020-10-18,1.12195494873956,386,50perc
2020-10-18,1.13217142470941,398,50perc
2020-10-19,1.12177619870322,3,50perc
2020-10-19,1.13870316364458,6,50perc
2020-10-19,1.11062503277448,11,50perc
2020-10-19,1.12091232262763,14,50perc
2020-10-19,1.11325232571901,17,50perc
2020-10-19,1.12437564792172,18,50perc
2020-10-19,1.14507005290756,27,50perc
2020-10-19,1.12223282188304,30,50perc
2020-10-19,1.13666474669492,35,50perc
2020-10-19,1.10466539398596,37,50perc
2020-10-19,1.11288451337338,49,50perc
2020-10-19,1.13716959685677,50,50perc
2020-10-19,1.12131683059445,57,50perc
2020-10-19,1.11648870527431,58,50perc
2020-10-19,1.12363115109379,59,50perc
2020-10-19,1.13068930829427,63,50perc
2020-10-19,1.12587305648841,65,50perc
2020-10-19,1.11270298596809,66,50perc
2020-10-19,1.11146150739607,69,50perc
2020-10-19,1.13547313245401,71,50perc
2020-10-19,1.13084682724705,73,50perc
2020-10-19,1.10557148996287,81,50perc
2020-10-19,1.11871471259071,101,50perc
2020-10-19,1.12104960719137,102,50perc
2020-10-19,1.11212166260171,104,50perc
2020-10-19,1.13001124717489,110,50perc
2020-10-19,1.15104289978912,111,50perc
2020-10-19,1.14138607734226,116,50perc
2020-10-19,1.12655839427853,122,50perc
2020-10-19,1.13092222082207,127,50perc
2020-10-19,1.11681244315067,134,50perc
2020-10-19,1.10831756253704,137,50perc
2020-10-19,1.11907363873486,140,50perc
2020-10-19,1.11969409896767,144,50perc
2020-10-19,1.11184453053992,147,50perc
2020-10-19,1.11889364268906,149,50perc
2020-10-19,1.12369548585601,150,50perc
2020-10-19,1.11154607022488,151,50perc
2020-10-19,1.10814123802117,152,50perc
2020-10-19,1.13139916771254,156,50perc
2020-10-19,1.13426164503129,157,50perc
2020-10-19,1.12670164882093,159,50perc
2020-10-19,1.10524530258482,164,50perc
2020-10-19,1.14670651915131,165,50perc
2020-10-19,1.12697217726879,175,50perc
2020-10-19,1.12552357450752,195,50perc
2020-10-19,1.12251018464118,199,50perc
2020-10-19,1.12369487721128,211,50perc
2020-10-19,1.13112531787396,212,50perc
2020-10-19,1.11694832836577,223,50perc
2020-10-19,1.12397179506653,224,50perc
2020-10-19,1.12046654052879,225,50perc
2020-10-19,1.10704274347685,227,50perc
2020-10-19,1.12401177664385,231,50perc
2020-10-19,1.12189049608115,234,50perc
